|======================================================================================================================|
|  Epoch  |  Iteration  |  Time Elapsed  |  Mini-batch  |  Validation  |  Mini-batch  |  Validation  |  Base Learning  |
|         |             |   (hh:mm:ss)   |   Accuracy   |   Accuracy   |     Loss     |     Loss     |      Rate       |
|======================================================================================================================|
|       1 |           1 |       00:00:06 |       25.78% |       32.31% |       1.4007 |       3.7221 |          0.0100 |
|       2 |           2 |       00:00:11 |       33.59% |       43.08% |       3.4768 |       1.4339 |          0.0100 |
|       3 |           3 |       00:00:16 |       48.44% |       56.92% |       1.2539 |       1.2447 |          0.0100 |
|       4 |           4 |       00:00:21 |       58.59% |       60.00% |       1.0184 |       1.1797 |          0.0100 |
|       5 |           5 |       00:00:27 |       57.81% |       70.77% |       0.9360 |       0.9754 |          0.0100 |
|       6 |           6 |       00:00:32 |       68.75% |       66.15% |       0.7642 |       0.8651 |          0.0100 |
|       7 |           7 |       00:00:37 |       66.41% |       56.92% |       0.7366 |       0.8508 |          0.0100 |
|       8 |           8 |       00:00:41 |       65.63% |       58.46% |       0.7199 |       0.8214 |          0.0100 |
|       9 |           9 |       00:00:46 |       67.97% |       64.62% |       0.7335 |       0.7531 |          0.0100 |
|      10 |          10 |       00:00:51 |       73.44% |       70.77% |       0.6692 |       0.7235 |          0.0100 |
|      11 |          11 |       00:00:55 |       75.78% |       69.23% |       0.6166 |       0.7276 |          0.0100 |
|      12 |          12 |       00:01:00 |       76.56% |       69.23% |       0.5798 |       0.6994 |          0.0100 |
|      13 |          13 |       00:01:04 |       73.44% |       75.38% |       0.5831 |       0.6505 |          0.0100 |
|      14 |          14 |       00:01:09 |       76.56% |       73.85% |       0.5143 |       0.6377 |          0.0100 |
|      15 |          15 |       00:01:13 |       85.94% |       76.92% |       0.4231 |       0.6427 |          0.0100 |
|      16 |          16 |       00:01:17 |       87.50% |       80.00% |       0.4001 |       0.6245 |          0.0100 |
|      17 |          17 |       00:01:22 |       89.06% |       78.46% |       0.3732 |       0.5853 |          0.0100 |
|      18 |          18 |       00:01:26 |       89.84% |       78.46% |       0.3303 |       0.5122 |          0.0100 |
|      19 |          19 |       00:01:31 |       88.28% |       83.08% |       0.2932 |       0.4271 |          0.0100 |
|      20 |          20 |       00:01:35 |       90.63% |       83.08% |       0.2621 |       0.3987 |          0.0100 |
|      21 |          21 |       00:01:40 |       93.75% |       81.54% |       0.2098 |       0.3694 |          0.0100 |
